Acronym,Name,Price,Change,PerChange,Volume,AvgVol,MarketCap,PE Ratio
DUOL,"Duolingo, Inc.",203.02,+35.75,+21.37%,3.395M,"548,831",8.53B,N/A
VERX,"Vertex, Inc.",27.11,+4.71,+21.03%,2.354M,"373,973",4.123B,N/A
RAMP,"LiveRamp Holdings, Inc.",36.00,+6.00,+20.00%,1.11M,"385,800",2.358B,N/A
TMICY,Trend Micro Incorporated,46.04,+6.79,+17.30%,"29,184","25,761",6.235B,35.97
AMPH,"Amphastar Pharmaceuticals, Inc.",52.41,+6.99,+15.39%,"993,388","417,604",2.511B,20.47
BAK,Braskem S.A.,8.08,+1.05,+14.94%,3.09M,"626,941",3.22B,N/A
AFRM,"Affirm Holdings, Inc.",24.86,+3.10,+14.25%,47.204M,14.462M,7.501B,N/A
NOMD,Nomad Foods Limited,16.25,+2.01,+14.12%,2.393M,"696,711",2.806B,12.70
JXN,Jackson Financial Inc.,43.69,+4.75,+12.20%,2.329M,1.209M,3.473B,546.12
PSEC,Prospect Capital Corporation,5.92,+0.64,+12.12%,6.619M,1.613M,2.429B,296.00
NTRA,"Natera, Inc.",45.39,+4.05,+9.80%,3.587M,1.196M,5.454B,N/A
TDG,TransDigm Group Incorporated,973.07,+77.86,+8.70%,"653,332","226,934",53.697B,51.76
NEXOY,"NEXON Co., Ltd.",20.81,+1.65,+8.61%,"33,968","30,217",17.668B,24.20
BE,Bloom Energy Corporation,10.87,+0.84,+8.37%,15.345M,4.171M,2.435B,N/A
NEXPF,Nexi S.p.A.,7.09,+0.53,+8.00%,"15,200",341,9.299B,118.17
FQVLF,First Quantum Minerals Ltd.,12.20,+0.90,+7.96%,"139,916","190,930",8.478B,13.86
NXE,NexGen Energy Ltd.,6.16,+0.42,+7.32%,5.812M,4.761M,3.218B,N/A
SBGSY,Schneider Electric S.E.,34.55,+2.27,+7.03%,"189,377","405,431",96.888B,22.88
VSAT,"Viasat, Inc.",18.97,+1.23,+6.93%,2.719M,1.541M,2.353B,N/A
DIS,The Walt Disney Company,90.34,+5.84,+6.91%,50.015M,13.562M,160.896B,70.03
ACIW,"ACI Worldwide, Inc.",26.04,+1.59,+6.50%,3.058M,"459,734",2.831B,33.38
KOS,Kosmos Energy Ltd.,6.95,+0.38,+5.78%,8.409M,4.702M,3.198B,43.44
DFKCY,"Daifuku Co., Ltd.",8.33,+0.43,+5.44%,"85,117","49,163",6.301B,24.50
NSANY,"Nissan Motor Co., Ltd.",8.53,+0.44,+5.44%,"77,517","60,593",16.708B,8.98
VVV,Valvoline Inc.,31.61,+1.61,+5.37%,4.129M,1.539M,4.383B,39.02
